word,pronunciation,meaning1,meaning2,meaning3
equally,'i:kwəli,"bằng nhau, ngang nhau, như nhau; đều",,
rapid,'ræpid,"nhanh, nhanh chóng, mau lẹ",đứng (dốc),thác ghềnh
northern,'nɔ:ðən,bắc,,
scope,skoup,"phạm vi, tầm xa (kiến thức); dịp; nơi phát huy",(hàng hải) chiều dài dây neo (khi tàu bỏ neo),(quân sự) tầm tên lửa
significance,sig'nifikəns,ý nghĩa,"sự quan trọng, sự đáng chú ý",
brief,bri:f,"ngắn, vắn tắt, gọn","bản tóm tắt, bản toát yếu","(pháp lý) bản tóm tắt hồ sơ của luật sư bào chữa (một vụ kiện); ((nghĩa rộng)) việc kiện, việc tố tụng"
resource,ri'sɔ:s,"phương sách, phương kế, thủ đoạn, cách xoay xở; chỗ trông mong vào (khi gặp thế bí)",(số nhiều) tài nguyên,(số nhiều) tiềm lực kinh tế và quân sự (của một nước)
representation,",reprizen'teiʃn","sự tiêu biểu, sự tượng trưng",sự đại diện; sự thay mặt; những người đại diện,"sự miêu tả, sự hình dung"
valuable,'væljuəbl,"có giá trị lớn, quý giá","có thể đánh giá được, có thể định giá được",((thường) số nhiều) đồ quý giá
minimum,'miniməm,"số lượng tối thiểu, mức tối thiểu, tối thiểu",tối thiểu,
facility,fə'siliti,"(số nhiều) điều kiện dễ dàng, điều kiện thuận lợi; phương tiện dễ dàng","sự dễ dàng, sự trôi chảy",sự hoạt bát
unable,'ʌn'eibl,"không có năng lực, không có khả năng, bất tài",(pháp lý) không có thẩm quyền,
global,'gloubəl,toàn cầu,"toàn thể, toàn bộ",
enemy,'enimi,"kẻ thù, kẻ địch, địch thủ; quân địch, tàu địch",(thông tục) thì giờ,ma vương
unique,ju:'ni:k,"chỉ có một, duy nhất, đơn nhất, vô song","(thông tục) kỳ cục, lạ đời, dị thường","vật duy nhất, vật chỉ có một không hai"
interaction,",intər'ækʃn",sự ảnh hưởng lẫn nhau,tác động qua lại,
vision,'viʤn,sự nhìn; sức nhìn,"điều mơ thấy, cảnh mộng",sự hiện hình yêu ma; bóng ma
worth,wə:θ,"giá, đáng giá","đáng, bõ công",có
curve,kə:v,"đường cong, đường vòng, chỗ quanh co","cong, uốn cong, bẻ cong, làm vênh",
tissue,'tisju:,vải mỏng,"mớ, tràng, dây (chuyện nói láo, chuyện vô lý...)",giấy lụa ((cũng) tissue-paper)
economics,",i:kə'nɔmiks",khoa kinh tế chính trị,nền kinh tế (cho một nước),
remove,ri'mu:v,món ăn tiếp theo (sau một món khác),sự lên lớp,lớp chuyển tiếp (trong một số trường ở Anh)
diameter,dai'æmitə,(toán học) đường kính,số phóng to (của thấu kính...),
permit,'pə:mit,giấy phép,sự cho phép[pə'mit],cho phép
temporary,'tempərəri,"tạm thời, nhất thời, lâm thời",,
sequence,'si:kwəns,"sự nối tiếp, sự liên tiếp, sự liên tục",cảnh (trong phim),(âm nhạc) phỏng chuỗi; khúc xêcăng
efficient,i'fiʃənt,"có hiệu lực, có hiệu quả","có năng lực, có khả năng","có năng suất cao, có hiệu suất cao (máy...)"
category,'kætigəri,"hạng, loại",(triết học) phạm trù,
distributed,,được phân bổ theo một kiểu nào đó,,
violence,'vaiələns,"sự dữ dội, sự mãnh liệt; tính hung dữ",tính chất quá khích,"bạo lực, sự cưỡng bức"
angle,'æɳgl,góc,góc xó,"(nghĩa bóng) quan điểm, khía cạnh"
anti,,chống lại,tiền tố,"đối lập, chống lại"
suppose,sə'pouz,"giả sử, giả thiết, giả định","đòi hỏi, cần có (lý thuyết, kết quả...)","cho rằng, tin, nghĩ rằng"
boundary,'baundəri,"đường biên giới, ranh giới",,
confidence,'kɔnfidəns,sự nói riêng; sự giãi bày tâm sự,"chuyện riêng, chuyện tâm sự, chuyện kín, chuyên bí mật","sự tin, sự tin cậy, sự tin tưởng"
opening,'oupniɳ,"khe hở, lỗ","sự mở, sự bắt đầu, sự khai mạc; phần đầu",những nước đi đầu (đánh cờ)
declared,di'kleəd,"công khai, công nhiên, không úp mở",,
belief,bi'li:f,"lòng tin, đức tin; sự tin tưởng",tin tưởng,không thể tin được
eventually,i'ventjuəli,cuối cùng,,
currently,,"hiện thời, hiện nay",,
minor,'mainə,"nhỏ (hơn), không quan trọng, thứ yếu","em, bé (dùng trong trường hợp có hai anh em học cùng trường)",(âm nhạc) thứ
opposition,",ɔpə'ziʃn","sự đối lập, sự đối nhau",vị trị đối nhau,"sự chống lại, sự chống cự, sự phản đối"
arrangement,ə'reindʤmənt,"sự sắp xếp, sự sắp đặt, cái được sắp xếp, cái được sắp đặt","((thường) số nhiều) sự thu xếp, sự chuẩn bị","sự dàn xếp, sự hoà giải"
crisis,'kraisis,sự khủng hoảng; cơn khủng hoảng,(y học) cơn (bệnh); sự lên cơn,
alcohol,'ælkəhɔl,rượu cồn,(định ngữ) (thuộc) cồn,
household,'haushould,"hộ, gia đình",toàn bộ người nhà; toàn bộ người hầu trong nhà,(số nhiều) bột loại hai
oxygen,'ɔksidʤən,(hoá học) Oxy,,
pipe,paip,"ống dẫn (nước, dầu...)","(âm nhạc) ống sáo, ống tiêu; (số nhiều) kèn túi (của người chăn cừu Ê-cốt)",(giải phẫu) ống quần
stream,stri:m,"dòng suối, dòng sông nhỏ","dòng, luồng","chiều nước chảy, dòng"
electron,i'lektrɔn,"Electron, điện tử",,
behalf,bi:hɑ:f,"on (in) behalf of thay mặt cho, nhân danh",,
observation,",ɔbzə:'veiʃn","sự quan sát, sự để ý, sự chú ý, sự theo dõi","khả năng quan sát, năng lực quan sát","lời nhận xét, điều quan sát được, điều nhận thấy"
medium,'mi:djəm,"người trung gian, vật môi giới","trung dung, sự chiết trung","bà đồng, đồng cốt"
electronic,ilek'trɔnik,(thuộc) điện tử,,
obviously,,một cách rõ ràng; có thể thấy được,"hy vọng, đầy hy vọng","đầy hứa hẹn, có triển vọng"
tend,tend,"trông nom, săn sóc, chăm sóc, chăm nom, giữ gìn","(+ on,  upon) theo, theo hầu, hầu hạ, phục vụ","quay về, xoay về, hướng về, đi về"
flat,flæt,dãy phòng (ở một tầng trong một nhà khối),"(từ Mỹ,nghĩa Mỹ) căn phòng, căn buồng","(hàng hải) ngăn, gian"
visual,'vizjuəl,"(thuộc sự) nhìn, (thuộc) thị giác",,
narrow,'nærou,"hẹp, chật hẹp, eo hẹp","hẹp hòi, nhỏ nhen","kỹ lưỡng, tỉ mỉ"
mere,miə,(thơ ca) ao; hồ,chỉ là,
absolute,'æbsəlu:t,"tuyệt đối, hoàn toàn; thuần tuý, nguyên chất","chuyên chế, độc đoán","xác thực, đúng sự thực, chắc chắn"
similarly,'similəli,"cũng như thế, cũng như vậy, tương tự",,
spiritual,'spiritjuəl,(thuộc) tinh thần,"(thuộc) linh hồn, (thuộc) tâm hồn",(thuộc) thần thánh
registration,",redʤis'treiʃn","sự đăng ký, sự vào sổ",sự gửi bảo đảm (thư),số đăng ký (ô tô...)
rare,reə,"hiếm, hiếm có, ít có",loãng,"rất quý, rất tốt, rất ngon, rất vui..."
committed,,tận tụy; tận tâm,,
supposed,sə'pouzd,"cho là nó có, coi như là đúng","chỉ là giả thiết, chỉ là tưởng tượng",
formula,'fɔ:mjulə,"thể thức, cách thức",công thức,
composed,kəm'pouzd,"bình tĩnh, điềm tĩnh",,
wire,wai,dây (kim loại),bức điện báo,(xem) live
aspect,'æspekt,"vẻ, bề ngoài; diện mạo",hướng,khía cạnh; mặt
consequently,'kɔnsikwəntli,"do đó, vì vậy cho nên, bởi thế; vậy thì",,
finding,'faindiɳ,"sự tìm ra, sự khám phá; sự phát hiện; sự phát minh","vật tìm thấy; điều khám phá, tài liệu phát hiện; vật bắt được",(pháp lý) sự tuyên án
cattle,'kætl,"thú nuôi, gia súc",(thông tục) ngựa,"những kẻ đáng khinh, những kẻ thô lỗ, vũ phu"
furthermore,'fə:ðə'mɔ:,"hơn nữa, vả lại",,
probability,probability,"sự có thể có, sự chắc hẳn, sự có khả năng xảy ra; sự có lẽ đúng, sự có lẽ thật","điều có thể xảy ra, điều chắc hẳn",(toán học) xác suất
experienced,iks'piəriənst,"có kinh nghiệm, giàu kinh nghiệm, từng trải, lão luyện",,
occasion,ə'keiʤn,"dịp, cơ hội","duyên cớ, lý do trực tiếp, lý do ngẫu nhiên","(từ cổ,nghĩa cổ) công việc, công chuyện"
infection,in'fekʃn,"sự nhiễm, sự làm nhiễm độc, sự làm nhiễm trùng",vật lây nhiễm,bệnh lây nhiễm
accurate,'ækjurit,"đúng đắn, chính xác, xác đáng",,
recognize,'rekəgnaiz,"công nhận, thừa nhận, chấp nhận",nhìn nhận,nhận ra
option,'ɔpʃn,"sự chọn lựa, quyền lựa chọn",vật được chọn; điều được chọn,quyền mua bán cổ phần (với ngày giờ và giá định rõ) (ở sở giao dịch chứng khoán)
organic,ɔ:'gænik,(thuộc) cơ quan,"có cơ quan, có tổ chức","(hoá học),  (y học) hữu cơ"
extend,iks'tend,"duỗi thẳng (tay, chân...); đưa ra, giơ ra","kéo dài (thời hạn...), gia hạn, mở rộng",(quân sự) dàn rộng ra (quân đội)
bulletin,'bulitin,"thông cáo, thông báo",tập san,
evident,'evidənt,"hiển nhiên, rõ rệt",,
unemployment,'ʌnim'plɔimənt,sự thất nghiệp; nạn thấp nghiệp,khối lượng công việc chưa làm,
psychological,",saikə'lɔdʤikəl",(thuộc) tâm lý,vào lúc thích hợp về tâm lý;(đùa cợt) vào lúc thuận lợi nhất,
enable,i'neibl,"làm cho có thể (làm gì), làm cho có khả năng (làm gì)","cho quyền, cho phép (ai) (làm gì)",
partial,'pɑ:ʃəl,bộ phận; cục bộ,thiên vị; không công bằng,(+ to) mê thích
academy,ə'kædəmi,học viện,viện hàn lâm,trường chuyên nghiệp
chemistry,'kemistri,"ngành hoá học; môn hoá học, hoá học",,
academic,",ækə'demik",(thuộc) học viện; (thuộc) trường đại học,(thuộc) viện hàn lâm,có tính chất học thuật
poetry,'pouitri,thơ; nghệ thuật thơ,"chất thơ, thi vị",
normally,'nɔ:məli,"thông thường, như thường lệ",,
naturally,'nætʃrəli,"vốn, tự nhiên","đương nhiên, tất nhiên, cố nhiên",
outstanding,aut'stændiɳ,"nổi bật, đáng chú ý; nổi tiếng","còn tồn tại, chưa giải quyết xong (vấn đề...); chưa trả (nợ...)",
commonly,'kɔmənli,"thường thường, thông thường, bình thường","tầm thường, thô tục",
democratic,",demə'krætik",dân chủ,,
separation,",sepə'reiʃn","sự phân ly, sự chia cắt","sự chia tay, sự biệt ly",(pháp lý) sự biệt cư
aside,ə'said,"về một bên, sang một bên",riêng ra,"(từ Mỹ,nghĩa Mỹ) ngoài ra, trừ ra"
eastern,'i:stən,đông,người miền đông ((cũng) easterner),(tôn giáo) tín đồ nhà thờ chính thống
copyright,'kɔpirait,"bản quyền, quyền tác giả",tác giả giữ bản quyền,do tác giả giữ bản quyền; được đảm bảo quyền tác giả
customs,,thuế đánh vào hàng nhập từ nước ngoài vào; thuế nhập khẩu,cơ quan chính phủ thu sắc thuế này; hải quan,
examine,ig'zæmin,"khám xét, xem xét, thẩm tra, khảo sát, nghiên cứu","hỏi thi, sát hạch (một thí sinh)",(pháp lý) thẩm vấn
physics,'fiziks,vật lý học,,
alternative,ɔ:l'tə:nətiv,"xen nhau; thay đổi nhau, thay phiên nhau",lựa chọn (một trong hai); hoặc cái này hoặc cái kia (trong hai cái); loại trừ lẫn nhau (hai cái),sự lựa chon (một trong hai)
extreme,iks'tri:m,"ở tít đằng đầu, ở đằng cùng, xa nhất, ở tột cùng","vô cùng, tột bực, cùng cực, cực độ",khác nghiệt; quá khích; cực đoan (biện pháp)
while,wail,"lúc, chốc, lát","bõ công, đáng làm","to while away l ng phí, làm mất, để trôi qua; giết (thì giờ)"
setting,'setiɳ,"sự đặt, sự để","sự sắp đặt, sự bố trí",sự sửa chữa
collective,kə'lektiv,tập thể; chung,(ngôn ngữ học) tập họp,(ngôn ngữ học) danh từ tập họp
tendency,'tendənsi,"xu hướng, khuynh hướng",,
whenever,wen'ev,bất cứ lúc nào; lúc nào,"mỗi lần, mỗi khi, hễ khi nào",
doctrine,'dɔktrin,học thuyết chủ nghĩa,,
constitute,'kɔnstitju:t,"cấu tạo, tạo thành","thiết lập, thành lập","chỉ đinh, uỷ nhiệm"
gain,gein,"lợi, lời; lợi lộc; lợi ích","(số nhiều) của thu nhập, của kiếm được; tiền lãi",sự tăng thêm
atmosphere,'ætməsfiə,quyển khí,không khí (nghĩa đen) & bóng,Atmôfe (đơn vị)
stable,'steibl,vững vàng; ổn định,"kiên định, kiên quyết","(vật lý) ổn định, bền"
compliance,'kɔmplaiəns,"sự bằng lòng, sự ưng thuận, sự chiều theo, sự làm đúng theo (một yêu cầu, một lệnh...)","sự phục tùng đê tiện, sự khúm núm",
substantially,səb'stænʃəli,"về thực chất, về căn bản",,
literary,'litərəli,"(thuộc) văn chương, (thuộc) văn học, có tính chất văn chương, có tính chất văn học",bản quyền tác giả; sách thuộc bản quyền tác giả,
statistical,stə'tistik,(thuộc) thống kê,,
distinction,dis'tiɳkʃn,"sự phân biệt; điều phân biệt, điều khác nhau","nét đặc biệt, màu sắc riêng, tính độc đáo (văn)","dấu hiệu đặc biệt; biểu hiện danh dự, tước hiệu, danh hiệu"
min,,(viết tắt) tối thiểu,,
climate,'klaimit,"khí hậu, thời tiết",miền khí hậu,"(nghĩa bóng) hoàn cảnh, môi trường, không khí; xu hướng chung (của một tập thể); xu thế (của thời đại)"
intention,in'tenʃn,"ý định, mục đích",(số nhiều) (thông tục) tình ý (muốn hỏi ai làm vợ),(y học) cách liền sẹo
outer,'autə,"ở phía ngoài, ở xa hơn",vòng ngoài cùng (mục tiêu),phát bắn vào vòng ngoài cùng (của mục tiêu)
qualified,,"đủ tư cách, đủ khả năng; đủ điều kiện","hạn chế, dè dặt",
assist,ə'sist,"giúp, giúp đỡ","dự, có mặt",
settled,'setld,"chắc chắn, ổn định","chín chắn, điềm tĩnh, không sôi nổi","đã giải quyết rồi, đã thanh toán rồi"
superior,sju:'piəriə,"cao, cao cấp",ở trên,"khá hơn, nhiều hơn"
struggle,'strʌgl,"sự đấu tranh; cuộc đấu tranh, cuộc chiến đấu","đấu tranh, chống lại",vùng vẫy; vật lộn
excess,ik'ses,"sự vượt quá giới hạn, sự quá mức; sự vượt, sự hơn","số lượng vượt quá, số lượng hơn, thừa ra, số dôi; độ dôi",sự thừa mứa
league,li:g,"dặm, lý (đơn vị chiều dài, quãng 4 km)","đồng minh, liên minh; hội liên đoàn","liên hiệp lại, liên minh, câu kết"
mineral,'minərəl,khoáng,(hoá học) vô cơ,khoáng vật
liquid,'likwid,lỏng,"trong trẻo, trong sáng","dịu dàng, êm dịu, du dương"
atlantic,ət'læntik,(thuộc) núi At-lát (ở Li-bi),(thuộc) Đại tây dương,
competitive,kəm'petitiv,"cạnh tranh, đua tranh",cuộc thi tuyển,
democracy,di'mɔkrəsi,"nền dân chủ, chế độ dân chủ",nước (theo chế độ) dân chủ,"(từ Mỹ,nghĩa Mỹ) (Democracy) cương lĩnh đảng Dân chủ"
promote,promote,"thăng chức, thăng cấp, đề bạt; cho lên lớp","làm tăng tiến, đẩy mạnh, xúc tiến, khuyến khích","đề xướng, sáng lập"
presentation,",prezen'teiʃn","sự bày ra, sự phô ra; sự trình ra",sự trình diễn,"sự giới thiệu; sự đưa vào yết kiến, sự đưa vào bệ kiến"
secure,si'kjuə,"chắc chắn, bảo đảm","an toàn, kiên cố, vững chắc, chắc","((thường) vị ngữ) giam giữ ở một nơi chắc chắn, buộc chặt, bó chặt, đóng chặt"
increasingly,,xem increase,,
canal,kə'næl,"kênh, sông đào",(giải phẫu) ống,
discovery,dis'kʌvəri,"sự khám phá ra, sự tìm ra, sự phát hiện ra","điều khám phá ra, điều tìm ra, điều phát hiện ra; phát minh",sự để lộ ra (bí mật...)
definite,'definit,"xác đinh, định rõ",rõ ràng,(ngôn ngữ học) hạn định
voltage,'voultidʤ,(điện học) điện áp,,
vast,vɑ:st,"rộng lớn, mênh mông, bao la; to lớn ((nghĩa đen) & (nghĩa bóng))",(thơ ca); (văn học) khoảng rộng bao la,
sub,sʌb,(thông tục) người cấp dưới,tàu ngầm,sự mua báo dài hạn
informed,in'fɔ:md,"có nhiều tin tức, nắm được tình hình",,
administrator,ədministreitə,người quản lý,"người cầm quyền hành chính, người cầm quyền cai trị",(pháp lý) người quản lý tài sản (cho vị thành niên hoặc người đã chết)
vary,'veəri,"làm cho khác nhau, thay đổi, biến đổi","thay đổi, biến đổi, đổi khác","khác nhau với, khác với"
petroleum,pi'trouljəm,dầu mỏ,dầu lửa,
soc,,người theo chủ nghĩa xã hội (Socialist),"Hội, đoàn thể (Society)",
mixed,mikst,"lẫn lộn, pha trộn, ô hợp","(thông tục) bối rối, lúng túng; sửng sốt, ngơ ngác",cho cả nam lẫn nữ
funding,,"(Econ) Đổi nợ, đảo nợ; cấp vồn, tài trợ.",,
emotional,'imouʃənl,"cảm động, xúc động, xúc cảm","dễ cảm động, dễ xúc động, dễ xúc cảm",
poverty,'pɔvəti,"sự nghèo nàn; cảnh nghèo nàn, cảnh bần cùng","(nghĩa bóng) sự nghèo nàn, sự thiếu thốn; sự thấp kém, sự tồi tàn",
accuracy,'ækjurəsi,"sự đúng đắn, sự chính xác; độ chính xác",,
integration,",inti'greiʃn","sự hợp lại thành một hệ thống thống nhất, sự bổ sung thành một thể thống nhất, sự hợp nhất",sự hoà hợp với môi trường,(toán học) phép tích phân; sự tích phân
muscle,'mʌsl,"bắp thịt, cơ",(nghĩa bóng) sức lực,không động đậy
statutory,'stætjutəri,(thuộc) luật; do luật pháp quy định,theo đúng luật,
registered,'redʤistəd,đã đăng ký,bảo đảm (thư),
prison,prison,"nhà tù, nhà lao, nhà giam","(thơ ca) bỏ tù, bỏ ngục, giam cầm",
acceptance,ək'septəbl,"sự nhận, sự chấp nhận, sự chấp thuận","sự thừa nhận, sự công nhận","sự hoan nghênh, sự tán thưởng, sự tán thành; sự tin"
sharp,ʃɑ:p,"sắt, nhọn, bén","rõ ràng, rõ rệt, sắc nét","thình lình, đột ngột"
visible,'vizəbl,"thấy được, có thể trông thấy được","rõ ràng, rõ rệt",sẵn sàng tiếp khách
ave,'ɑ:vi,"lời chào (khi gặp nhau); lời chào tạm biệt, lời chào vĩnh biệt","(Ave) (tôn giáo) kinh cầu nguyện Đức mẹ đồng trinh ((cũng) Ave Maria,  Ave Mary)","chào! (khi gặp); tạm biệt!, vĩnh biệt!"
express,iks'pres,"người đưa thư hoả tốc, công văn hoả tốc","xe lửa tốc hành, xe nhanh","(từ Mỹ,nghĩa Mỹ) hàng gửi xe lửa tốc hành; tiền gửi hoả tốc"
rising,'raiziɳ,"sự dậy, sự trở dậy, sự đứng dậy","sự mọc (mặt trời, mặt trăng...)","sự bốc lên, sự leo lên, sự trèo lên, sự dâng lên, sự tăng lên, sự nổi lên"
discrimination,"dis,krimi'neiʃn","sự phân biệt, sự nhận rõ điều khác nhau, sự tách bạch ra","sự biết phân biệt, sự sáng suốt, óc phán đoán, óc suy xét",sự đối xử phân biệt
appropriation,"ə,proupri'eiʃn","sự chiếm hữu, sự chiếm đoạt (làm của riêng)",sự dành riêng (để dùng vào việc gì),
minority,,phần ít; thiểu số,only a minority of British households do/does not have a car,chỉ có một số ít hộ gia đình người Anh là không có xe hơi
define,di'fain,định nghĩa (một từ...),"định rõ, vạch rõ (hình dạng, ranh giới...)","xác định đặc điểm, chỉ rõ tính chất"
monthly,'mʌnθli,hàng tháng,"nguyệt san, tạp chí ra hằng tháng",(số nhiều) kinh nguyệt
huge,hju:dʤ,"to lớn, đồ sộ, khổng lồ",,
hydrogen,'haidridʤən,(hoá học) Hyddrô,,
deposit,di'pɔzit,"vật gửi, tiền gửi","tiền ký quỹ, tiền đặc cọc","chất lắng, vật lắng"
satisfaction,",sætis'fækʃn","sự làm cho thoả mãn; sự vừa lòng, sự toại ý, sự thoả mãn",sự trả nợ; sự làm tròn nhiệm vụ,(tôn giáo) sự chuộc tội (của Chúa)
appellant,ə'pelənt,(pháp lý) chống án,"kêu gọi, kêu cứu",(pháp lý) người chống án
duration,djuə'reiʃn,"thời gian, khoảng thời gian (tồn tại của một sự việc)",,
border,'bɔ:də,"bờ, mép, vỉa, lề",biên giới,"đường viền (để làm cho chắc, để trang trí)"
exact,ig'zækt,"chính xác, đúng, đúng dắn","tống (tiền...); bắt phải nộp, bắt phải đóng, bóp nặn (thuế...)","đòi hỏi, đòi khăng khăng, đòi hỏi cấp bách"
molecular,mou'lekjulə,(thuộc) phân t,,
secured,,(Econ) Những khoản vay có bảo lãnh.,,
spectrum,'spektrəm,hình ảnh,"(vật lý) phổ, quang phổ",
defence,di'fens,"cái để bảo vệ, vật để chống đỡ, vật để chặn lại","sự che chở, sự bảo vệ, sự phòng thủ, sự chống giữ","(quân sự), (số nhiều) công sự bảo vệ, công sự phòng ngự, thành luỹ"
taxation,tæk'seiʃn,sự đánh thuế,"hệ thống thuế, thuế",tiền thuế thu được
threat,θret,sự đe doạ,"lời đe doạ, lời hăm doạ",
judicial,dʤu:'diʃəl,(thuộc) toà án; (thuộc) quan toà; (thuộc) pháp luật ((cũng) judiciary),"do toà án xét xử, do toà quyết định",bị Chúa trừng phạt
municipal,mju:'nisipəl,"(thuộc) thành phố, (thuộc) đô thị, (thuộc) thị xã",luật lệ riêng của một nước,
inquiry,in'kwaiəri,"sự điều tra, sự thẩm tra; sự thẩm vấn, sự hỏi",câu hỏi,
nitrogen,'naitridʤən,(hoá học) Nitơ,,
subsequently,'sʌbsikwəntli,"rồi thì, rồi sau đó",,
jewish,'dʤu:iʃ,(thuộc) người Do thái,,
fit,fit,"(từ cổ,nghĩa cổ) đoạn thơ ((cũng) fytte)",cơn (đau),"sự ngất đi, sự thỉu đi"
absorption,əb'sɔ:pʃn,"sự hút, sự hút thu","sự say mê, miệt mài, sự mê mải",
absolutely,'æbsəlu:tli,"tuyệt đối, hoàn toàn","chuyên chế, độc đoán",vô điều kiện
guidance,,"sự chỉ đạo, sự hướng dẫn; sự dìu dắt",,
breath,breθ,"hơi thở, hơi",cơn gió nhẹ; làn hương thoảng,tiếng thì thào
circulation,",sə:kju'leiʃn",sự lưu thông,sự lưu hành (tiền tệ,"tổng số phát hành (báo, tạp chí...)"
contribute,kən'tribju:t,"đóng góp, góp phần",,
trend,trend,phương hướng,"khuynh hướng, xu hướng, chiều hướng","đi về phía, hướng về, xoay về"
turning,'tə:niɳ,"sự quay, sự xoay","sự đổi chiếu, sự đổi hướng","chỗ ngoặt, chỗ rẽ"
typically,,"điển hình, tiêu biểu","đặc thù, đặc trưng",
plasma,'plæzmə,(sinh vật học) huyết tương,(khoáng chất) thạch anh lục,(như) plasm
hereby,'hiə'bai,"bằng biện pháp này, bằng cách này","do đó, nhờ đó, nhờ thế",
sodium,'soudjəm,(hoá học) Natri,,
domain,də'mein,"đất đai tài sản, dinh cơ, ruộng nương nhà cửa (của địa chủ...)",lãnh địa; lãnh thổ,"phạm vi (ảnh hưởng...), lĩnh vực (khoa học hoạt động...)"
tank,tæɳk,"thùng, két, bể (chứa nước, dầu...)",xe tăng,
separated,,ly thân,,
classical,'klæsikəl,kinh điển,cổ điển; không hoa mỹ,hạng ưu (tác phẩm văn học)
optical,'ɔptikəl,"(thuộc) sự nhìn, (thuộc) thị giác",(thuộc) quang học,
destruction,dis'trʌkʃn,"sự phá hoại, sự phá huỷ, sự tiêu diệt; tình trạng bị tàn phá, tình trạng bị tiêu diệt","nguyên nhân huỷ diệt, nguyên nhân suy vi; nguyên nhân gây ra cái chết",
depression,di'preʃn,"chỗ lõm, chỗ đất lún, chỗ sụt xuống","sự chán nản, sự ngã lòng; sự buồn rầu, sự phiền muộn","tình trạng đình đốn, tình trạng trì trệ, tình trạng đình trệ"
classified,'klæsifaid,đã được phân loại,"(từ Mỹ,nghĩa Mỹ) chính thức được coi là mật",
frequent,'fri:kwənt,"thường xuyên, hay xảy ra, có luôn",nhanh (mạch đập)[fri'kwent],hay lui tới; hay ở
proceed,proceed,tiến lên; theo đuổi; đi đến,"tiếp tục, tiếp diễn; tiếp tục nói","làm, hành động"
exclusive,iks'klu:siv,loại trừ,"riêng biệt, dành riêng (câu lạc bộ, cửa hàng...); độc chiếm, độc quyền",độc nhất
liable,'laiəbl,"có trách nhiệm về pháp lý, có nghĩa vụ về pháp lý, có bổn phận",có khả năng bị; có khả năng xảy ra,
correlation,",kɔri'leiʃn",sự tương quan,thể tương liên,
respective,ris'pektiv,"riêng từng người, riêng từng cái; tương ứng (với vị trí, thứ tự, địa vị...)",,
surgery,'sə:dʤəri,khoa phẫu thuật,việc mổ xẻ; sự mổ xẻ,phòng mổ
occasionally,ə'keiʤnəli,"thỉnh thoảng, thảng hoặc; từng thời kỳ",,
freight,freit,"việc chuyên chở hàng bằng đường thuỷ; (từ Mỹ,nghĩa Mỹ) việc chuyên chở hàng hoá (cả bằng đường bộ)",tiền cước chuyên chở,sự thuê tàu chuyên chở
guilty,,"có tội, phạm tội, tội lỗi",,
thermal,'θə:məl,"nhiệt, nóng",,
ore,ɔ:,quặng,(thơ ca) kim loại,
objective,ɔb'dʤektiv,khách quan,(thuộc) mục tiêu,(ngôn ngữ học) (thuộc) cách mục tiêu
era,'iərə,"thời đại, kỷ nguyên","(địa lý,địa chất) đại",
satisfied,,"cảm thấy hài lòng, cảm thấy vừa ý; thoả mãn",,
adjacent,ə'dʤeizənt,"gần kề, kế liền, sát ngay",,
com,,"Trong DOS, đây là tên thiết bị được gán cho các cổng truyền thông nối tiếp có trong máy tính của bạn Máy bạn có thể có đến bốn cổng COM, theo DOS là COM 1, COM 2, COM 3, COM 4","Khi dùng làm đuôi mở rộng cho tên tệp COM sẽ cho biết đó là một tệp chương trình có thể thực hiện được, bị hạn chế trong giới hạn 64 K Để chạy một tệp COM, bạn đánh tên tệp và ấn Enter",
arise,ə'raiz,"xuất hiện, nảy sinh ra, xảy ra",phát sinh do; do bởi,"(thơ ca) sống lại, hồi sinh"
russian,'rʌʃn,(thuộc) Nga,người Nga,tiếng Nga
decline,di'klain,"sự sụt, sự suy tàn, sự suy sụp, sự tàn tạ","(y học) bệnh gầy mòn, sự sụt sức","nghiêng đi, dốc nghiêng đi"
incident,'insidənt,"(+ to) vốn có, vốn gắn liền với, vốn liên quan với",(vật lý) tới,"(pháp lý) phụ thuộc vào, gắn liền với"
electricity,ilek'trisiti,"điện, điện lực",điện học,
unity,'ju:niti,"tính đơn nhất, tính thuần nhất, tính duy nhất, tính đồng nhất",sự thống nhất,"sự đoàn kết, sự hoà hợp, sự hoà thuận"
intervention,",intə'venʃn","sự xen vào, sự can thiệp",,
declaration,",deklə'reiʃn",sự tuyên bố; lời tuyên bố,bản tuyên ngôn,sự công bố
bishop,'biʃəp,giám mục,"(đánh cờ) quân ""giám mục""",rượu hâm pha hương liệu
occupied,,đang sử dụng,đầy (người),"có dính líu, bận rộn"
surely,'ʃuəli,chắc chắn,"rõ ràng, không ngờ gì nữa",nhất định rồi (trong câu trả lời)
inc,,<thương> liên hợp (Incorporated),,
resolved,ri'zɔlvd,"quyết tâm, kiên quyết",,
admission,əd'miʃn,"sự nhận vào, sự thu nạp vào; sự kết nạp","sự cho vào cửa, sự cho vào","tiền vào cửa, tiền nhập học"
confirmed,kən'fə:md,"ăn sâu, thâm căn cố đế, thành cố tật, kinh niên",,
transformation,",trænsfə'meiʃn","sự thay đổi, sự biến đổi","sự biến chất, sự biến tính",chùm tóc giả (của phụ nữ)
ion,'aiən,(vật lý) Ion,,
analyses,ə'næləsis,sự phân tích,"(vật lý),  (hoá học) phép phân tích",(toán học) giải tích
mutual,'mju:tjuəl,"lẫn nhau, qua lại",chung,
