bring,briɳ,"cầm lại, đem lại, mang lại, xách lại, đưa lại",đưa ra,"làm cho, gây cho"
culture,'kʌltʃə,"sự mở mang, sự tu dưỡng, sự trao đổi","sự giáo dục, sự giáo hoá","văn hoá, văn minh"
stage,steidʤ,"bệ, dài",giàn (thợ xây tường...),bàn soi (kính hiển vi)
music,'mju:zik,"nhạc, âm nhạc",tiếng nhạc,khúc nhạc
survey,'sə:vei,sự nhìn chung; cái nhìn tổng quát,sự nghiên cứu (tình hình...),cục đo đạc địa hình
ask,ɑ:sk,hỏi,"xin, yêu cầu, thỉnh cầu",mời
station,'steiʃn,"trạm, điểm, đồn, đài (phát thanh...)","trạm, ty (phục vụ như cầu địa phương)",nhà ga
site,sait,"nơi, chỗ, vị trí",đất xây dựng,"đặt, để, định vị trí"
month,mʌnθ,tháng,lễ cầu kinh một tháng sau khi chết; lễ giỗ ba mươi ngày,một thời gian dài vô tận
like,laik,"giống, giống nhau, như nhau, tương tự, cùng loại","thực đúng, đúng như mong đợi","thích, sãn sàng, sãn lòng, vui lòng"
alone,ə'loun,"một mình, trơ trọi, cô độc, đơn độc","riêng, chỉ có",(xem) leave
sale,seil,sự bán,"hàng hoá bán, số hàng hoá bán được",cuộc bán đấu gía; sự bán xon
poor,puə,"nghèo, bần cùng","xấu, tồi, kém, yếu",thô thiển
future,'fju:tʃə,tương lai,tương lai,(số nhiều) (thương nghiệp) hàng hoá bán sẽ giao sau
leave,li:v,sự cho phép,sự được phép nghỉ,"sự cáo từ, sự cáo biệt"
late,leit,"muộn, chậm, trễ","(thơ ca) mới rồi, gần đây",(xem) better
computer,kəm'pju:tə,máy điện toán,,
morning,'mɔ:niɳ,buổi sáng,(thơ ca) buổi bình minh,vào buổi bình minh của cuộc đời; lúc tuổi thanh xuân
kept,ki:p,"giữ, giữ lại","giữ, tuân theo, y theo, thi hành, đúng","giữ, canh phòng, bảo vệ; phù hộ"
news,nju:z,"tin, tin tức",,
hard,hɑ:d,"cứng, rắn","rắn chắc, cứng cáp",cứng (nước)
farm,fɑ:m,"trại, trang trại, đồn điền",nông trường,khu nuôi thuỷ sản
peace,pi:s,"hoà bình, thái bình, sự hoà thuận",((thường) Peace) hoà ước,"sự yên ổn, sự trật tự an ninh"
everything,'evriθiɳ,"mọi vật, tất cả, mọi cái, tất cả mọi thứ","cái quan trọng bậc nhất, điều quan trọng bậc nhất",
wall,wɔ:l,"tường, vách","thàn, thành luỹ, thành quách",lối đi sát tường nhà trên hè đường
island,'ailənd,hòn đảo,"(nghĩa bóng) cái đứng tách riêng, cái đứng tách biệt; miền đồng rừng giữa thảo nguyên; chỗ đứng tránh (cho người đi bộ ở ngã ba đường)",(giải phẫu) đảo
coming,'kʌmiɳ,"sự đến, sự tới","sắp tới, sắp đến","có tương lai, có triển vọng, hứa hẹn"
live,liv,sống,"ở, trú tại",thoát nạn (tàu thuỷ)
giving,,sự cho; việc tặng,tặng phẩm,(pháp luật) sự bán đấu giá; sự cho thầu
collection,kə'lekʃn,"sự tập họp, sự tụ họp","sự thu, sự lượm, sự góp nhặt, sự sưu tầm; tập sưu tầm",sự quyên góp
machine,mə'ʃi:n,"máy móc, cơ giới",người máy; người làm việc như cái máy,"(từ Mỹ,nghĩa Mỹ) cơ quan đầu nâo, bộ máy chỉ đạo (của một tổ chức, một đảng phái chính trị)"
fine,fain,"tốt, nguyên chất (vàng, bạc...)","nhỏ, mịn, thanh mảnh; sắc","tốt, khả quan, hay, giải"
answer,'ɑ:nsə,sự trả lời; câu trả lời; thư trả lời; lời đối đáp,"điều đáp lại, việc làm đáp lại","lời biện bác, lời biện bạch"
smith,smiθ,thợ rèn,,
comes,,mạch máu chạy dọc dây thần kinh,,
noted,'noutid,"nổi tiếng, có danh tiếng",,
red,red,đỏ,"hung hung đỏ, đỏ hoe","đẫm máu, ác liệt"
met,mi:t,"cuộc gặp gỡ (của những người đi săn ở một nơi đã hẹn trước, của những nhà thể thao để thi đấu)","gặp, gặp gỡ",đi đón
built,bild,sự xây dựng,kiểu kiến trúc,khổ người tầm vóc
ago,ə'gou,"trước đây, về trước",,
housing,'hauziɳ,sự cho ở,sự cất vào kho; sự lùa (súc vật) vào chuồng,sự cung cấp nhà ở
park,pɑ:k,"vườn hoa, công viên","bâi (bâi đất, thường có thú rừng; bãi cỏ quanh biệt thự ở nông thôn)","bâi (để xe, để pháo...)"
fish,fiʃ,cá,"cá, món cá",(thiên văn học) chòm sao Cá
summer,'sʌmə,(kiến trúc) cái rầm ((cũng) summer-tree),"mùa hạ, mùa hè","(thơ ca) tuổi, xuân xanh"
hour,'auə,"giờ, tiếng (đồng hồ)","giờ phút, lúc",((thường) số nhiều) giờ (làm việc gì theo quy định)
write,rait,viết,"viết thư, giao dịch thư từ","viết văn, viết sách"
getting,,(ngành mỏ) sự khấu; sự khai thác,lợi ích; thu hoạch,
post,poust,cột trụ,vỉa cát kết dày,(ngành mỏ) cột than chống (để lại không khai thác để chống mỏ)
address,ə'dres,địa chỉ,"bài nói chuyện, diễn văn",cách nói năng; tác phong lúc nói chuyện
add,æd,"((thường) + up,  together) cộng","thêm vào, làm tăng thêm",nói thêm
floor,floor,"sàn (nhà, cầu...)",tầng (nhà),đáy
hall,hɔ:l,"phòng lớn, đại sảnh (trong các lâu đài)",lâu đài (của địa chủ),"phòng họp lớn, hội trường (để hội họp, hoà nhạc...)"
spring,spriɳ,sự nhảy; cái nhảy,mùa xuân (đen & bóng),suối
heavy,'hevi,"nặng, nặng nề ((nghĩa đen) & (nghĩa bóng))","(+ with) chất nặng, chứa đầy, nặng trĩu","nặng, khó tiêu (thức ăn)"
run,rʌn,sự chạy,"cuộc hành trình ngắn, cuộc đi tham quan ngắn; cuộc đi dạo, cuộc đi chơi","chuyến đi; quâng đường đi (xe lửa, tàu thuỷ...)"
hear,hiə,nghe,"nghe theo, chấp nhận, đồng ý","(+ of,  about,  from) nghe nói, nghe tin, được tin, biết tin; nhận được (thư...)"
ready,'redi,sẵn sàng,sẵn lòng,để sẵn
else,els,"khác, nữa",nếu không,
event,i'vent,"sự việc, sự kiện",sự kiện quan trọng,"(thể dục,thể thao) cuộc đấu, cuộc thi"
successful,sək'sesful,"có kết quả, thành công, thắng lợi, thành đạt",,
bad,bæd,"xấu, tồi, dở","ác, bất lương, xấu","có hại cho, nguy hiểm cho"
top,tɔp,"con cù, con quay","(thân mật) bạn tri kỷ, bạn nối khố",ngủ say
cut,kʌt,"sự cắt, sự đốn, sự chặt, sự thái; nhát chém, nhát thái, vết đứt, vết xẻ, vết mổ","sự giảm, sự hạ, sự cắt bớt","vật cắt ra, miêng; đoạn cắt đi (của một vở kịch, cuốn tiểu thuyết...)"
color,'kʌlə,"(từ Mỹ,nghĩa Mỹ) (như) colour",,
bed,bed,cái giường,nền,lòng (sông...)
carry,'kæri,(quân sự) tư thế cầm gươm chào; sự bồng vũ khí,tầm súng; tầm bắn xa,sự khiêng thuyền xuống (từ sông này sang sông khác); nơi kéo thuyền lên khỏi mặt nước (để chuyển đi nơi khác)
glass,glɑ:s,kính thuỷ tinh,đồ dùng bằng thuỷ tinh (nói chung),cái cốc; (một) cốc
paragraph,'pærəgrɑ:f,đoạn văn,dấu mở đầu một đoạn văn; dấu xuống dòng,"mẫu tin (trên báo, thường không có đề)"
sold,sel,(thực vật học) sự làm thất vọng,"(từ Mỹ,nghĩa Mỹ) vố chơi khăm; sự đánh lừa",bán (hàng hoá); chuyên bán
easy,'i:zi,"thoải mái, thanh thản, không lo lắng; thanh thoát, ung dung","dễ, dễ dàng","dễ dãi, dễ tính; dễ thuyết phục"
picture,'piktʃə,"bức tranh, bức ảnh, bức vẽ",chân dung,người giống hệt (một người khác)
remember,ri'membə,"nhớ; nhớ lại, ghi nhớ","nhớ thưởng tiền, nhớ cho tiền",gửi lời chào
someone,'sʌmwʌn,"một người nào đó, có người ((cũng) somebody)",,
wrote,rait,viết,"viết thư, giao dịch thư từ","viết văn, viết sách"
interesting,'intristiɳ,"làm quan tâm, làm chú ý","có thai, có mang",
bar,bɑ:,barơ (đơn vị áp suất),"thanh, thỏi",chấn song; then chắn (cửa)
dark,dɑ:k,"tối, tối tăm, tối mò; mù mịt, u ám","ngăm ngăm đen, đen huyền",thẫm sẫm (màu)
eye,ai,"mắt, con mắt",(thực vật học) mắt (trên củ khoai tây),"lỗ (kim, xâu dây ở giày...)"
speak,spi:k,nói,"nói với, nói chuyện, nói lên","phát biểu, diễn thuyết, đọc diễn văn (ở hội nghị)"
telephone,'telifoun,"dây nói, điện thoại","gọi điện, nói chuyện bằng điện thoại",
girl,gə:l,con gái,cô gái giúp việc (trong gia đình),"(thông tục) người yêu, người tình ((cũng) best girl)"
tree,tri:,cây,(tôn giáo) giá chữ thập,cái nòng (giày); cái cốt (yên); trục (bánh xe)
boy,bɔi,"con trai, thiếu niên; con trai (con đẻ ra)","học trò trai, học sinh nam",người đầy tớ trai
husband,'hʌzbənd,người chồng,"(từ cổ,nghĩa cổ) người quản lý, người trông nom (việc chi tiêu...)","(từ cổ,nghĩa cổ) người làm ruộng"
copy,'kɔpi,"bản sao, bản chép lại","sự sao lại, sự chép lại, sự bắt chước, sự phỏng theo, sự mô phỏng","bản, cuộn (sách); số (báo)"
turn,tə:n,sự quay; vòng quay,"vòng cuộn, vòng xoắn (dây thép...)","sự đổi hướng, sự rẽ; chỗ ngoặt, chỗ rẽ"
animal,'æniməl,"động vật, thú vật",người đầy tính thú,"(thuộc) động vật, (thuộc) thú vật"
reading,'ri:diɳ,"sự đọc, sự xem (sách, báo...)","sự hiểu biết nhiều, sự uyên bác",phiên họp để thông qua (một dự án tại hai viện ở Anh trước khi được nhà vua phê chuẩn)
speech,spi:tʃ,"khả năng nói, năng lực nói","lời nói, lời",cách nói
quickly,'kwikli,"nhanh, nhanh chóng",,
winter,'wint,mùa đông,"(th ca) năm, tuổi",(th ca) lúc tuổi già
brother,'brʌðə,anh; em trai,"(số nhiều (thường) brethren) bạn cùng nghề, bạn đồng sự, bạn đồng ngũ",(số nhiều brethren) (tôn giáo) thầy dòng cùng môn phái
owner,'ounə,"người chủ, chủ nhân",(từ lóng) thuyền trưởng,
learn,lə:n,"học, học tập, nghiên cứu","nghe thất, được nghe, được biết","(từ cổ,nghĩa cổ);(đùa cợt), guộc duỵu âm phâng nội động từ"
game,geim,"trò chơi (như bóng đá, quần vợt, bài lá...)",(thương nghiệp) dụng cụ để chơi (các trò chơi),"(số nhiều) cuộc thi điền kinh, cuộc thi đấu"
radio,'reidiai,rađiô,"máy thu thanh, máy rađiô","truyền đi bằng rađiô, thông tin bằng rađiô, phát thanh bằng rađiô; đánh điện bằng rađiô (cho ai)"
begin,bi'gin,"bắt đầu, mở đầu, khởi đầu",bắt đầu nói,bắt đầu từ
memory,'meməri,"sự nhớ, trí nhớ, ký ức","kỷ niệm, sự tưởng nhớ",
wrong,rɔɳ,"xấu, không tốt, tồi","trái, ngược","sai, không đúng, lầm; trái lý, sai trái"
team,ti:m,"cỗ (ngựa, trâu, bò...)","đội, tổ",thắng (ngựa...) vào xe
miss,mis,cô,"(thông tục) cô gái, thiếu nữ",hoa khôi
fair,feə,"hội chợ, chợ phiên",(xem) day,hội chợ phù hoa
dry,drai,"khô, cạn, ráo","khô nứt; (thông tục) khô cổ, khát khô cả cổ","cạn sữa, hết sữa (bò cái...)"
spent,spent,"mệt lử, kiệt sức, hết nghị lực; hết đà (viên đạn, mũi tên...)",tàn lụi,
hair,heə,"tóc, lông (người, thú, cây...); bộ lông (thú)","(thông tục) xuềnh xoàng, tự nhiên, không nghi thức gò bó",ngược lông (vuốt)
medicine,'medsin,"y học, y khoa",thuốc,khoa nội
play,plei,"sự vui chơi, sự nô đùa, sự đùa giỡn; trò chơi, trò đùa","(thể dục,thể thao) sự đấu, sự chơi; trận đấu; cách chơi, lối chơi","(nghĩa bóng) lối chơi, cách xử sự"
before,bi'fɔ:,"trước, đằng trước","trước đây, ngày trước","ngay bây giờ, chẳng bao lâu nữa"
mouth,mauθ - mauð,mauð/,"mồm, miệng, mõm",miệng ăn
ship,ʃip,"tàu thuỷ, tàu","(từ Mỹ,nghĩa Mỹ) máy bay, phi cơ",(từ lóng) thuyền (đua)
out,aut,"ngoài, ở ngoài, ra ngoài",ra,"hẳn, hoàn toàn hết"
evening,i':vniɳ,"buổi chiều, buổi tối, tối đêm",(nghĩa bóng) lúc xế bóng,
agree,ə'gri:,"đồng ý, tán thành, bằng lòng, thoả thuận",hoà thuận,"hợp với, phù hợp với, thích hợp với"
greatest,,"lớn nhất, có ý nghĩa nhất",,
club,klʌb,"dùi cui, gậy tày","(thể dục,thể thao) gậy (đánh gôn)",(số nhiều) (đánh bài) quân nhép
sat,sit,ngồi,đậu (chim),ấp (gà mái)
start,stɑ:t,"lúc bắt đầu, buổi đầu","dị bắt đầu, cơ hội bắt đầu (một công cuộc gì)","sự khởi hành, sự ra đi, sự lên đường"
thank,θæɳk,"cám ơn, biết ơn","xin, yêu cầu",anh làm thì anh chịu
anyone,'eniwʌn,"người nào, ai","bất cứ người nào, bất cứ ai",
everyone,'evribɔdi,"mọi người, tất cả mọi người, ai ai; mỗi người",,
daughter,'dɔ:tə,con gái,,
close,klous,đóng kín,"chật, chật chội; kín, bí hơi, ngột ngạt","chặt, bền, sít, khít"
correct,kə'rekt,"đúng, chính xác","đúng đắn, được hợp, phải, phải lối",làm (nói) đúng lúc
lives,laif,sự sống,"đời sống, sinh mệnh, tính mệnh","đời, người đời"
piece,pi:s,"mảnh, mẩu, miếng, viên, cục, khúc...","bộ phận, mảnh rời","(thương nghiệp) đơn vị, cái, chiếc, tấm cuộn (vải); thùng (rượu...)"
collected,kə'lektid,"bình tĩnh, tự chủ",,
file,fail,cái giũa,"(từ lóng) thằng cha láu cá, thằng cha quay quắt",lấy thúng úp voi; lấy gậy chọc trời
mail,meil,áo giáp,mặc áo giáp,"thư từ; bưu kiện, bưu phẩm"
phone,foun,(ngôn ngữ học) âm tỏ lời nói,"(thông tục) máy điện thoại, dây nói",gọi dây nói; nói chuyện bằng dây nói
largest,,lớn nhất,,
key,ki:,hòn đảo nhỏ,bâi cát nông; đá ngần,chìa khoá
beautiful,'bju:təful,đẹp; hay,"tốt, tốt đẹp",
window,'windou,cửa sổ,"cửa kính (ô tô, xe lửa)",(thưng nghiệp) tủ kính bày hàng
map,mæp,bản đồ,(toán học) bản đồ; ảnh tượng,(từ lóng) mặt
green,gri:n,"xanh lá cây, (màu) lục",xanh; tươi,đầy sức sống; thanh xuân
talk,tɔ:k,lời nói,"cuộc chuyện trò, cuộc mạn đàm",bài nói chuyện
two,tu:,"hai, đôi",số hai,"đôi, cặp"
bridge,bridʤ,(đánh bài) brit,cái cầu,sống (mũi)
stop,stɔp,"sự ngừng lại, sư dừng, sự đỗ lại","sự ở lại, sự lưu lại",chỗ đỗ (xe khách...)
message,'mesidʤ,"thư tín, điện, thông báo, thông điệp","việc uỷ thác, việc giao làm, việc sai làm","lời truyền lại, lời tiên báo (của thần, nhà tiên tri...)"
either,"'aiðə,(Mỹ)'i:ðə","mỗi (trong hai), một (trong hai)",cả hai,"mỗi người (trong hai), mỗi vật (trong hai); một người (trong hai); một vật (trong hai)"
maybe,'meibi:,"có thể, có lẽ",,
brain,brein,"óc, não","đầu óc, trí óc",(số nhiều) trí tuệ; trí lực; sự thông minh
sugar,'ʃugə,đường,"lời đường mật, lời nịnh hót","(từ Mỹ,nghĩa Mỹ),  (từ lóng) tiền, xìn"
hope,houp,hy vọng,nguồn hy vọng,từ bỏ mọi hy vọng
excellent,'eksələnt,"hơn hẳn, trội hơn; rất tốt, thượng hạng, xuất sắc, ưu tú",,
blue,blu:,xanh,mặc quần áo xanh,"(thông tục) chán nản, thất vọng"
grade,greid,(toán học) Grát,"cấp bậc, mức, độ; hạng, loại; tầng lớp","(từ Mỹ,nghĩa Mỹ) điểm, điểm số (của học sinh)"
ice,ais,băng nước đá,kem,"(từ Mỹ,nghĩa Mỹ),  (từ lóng) kim cương"
rich,ritʃ,"giàu, giàu có","tốt, dồi dào, phong phú, sum sê","đẹp đẽ, tráng lệ, lộng lẫy, đắt tiền, quý giá (quần áo, đồ đạc...)"
learned,'lə:nid,"hay chữ, có học thức, thông thái, uyên bác",của các nhà học giả; đòi hỏi học vấn,
feeling,'fi:liɳ,"sự sờ mó, sự bắt mạch","sự cảm thấy; cảm giác, cảm tưởng","sự cảm động, sự xúc động"
wind,"wind, (thÔ) waind",gió,"phưng gió, phía gió thổi",(số nhiều) các phưng trời
thinking,'θiɳkiɳ,"sự suy nghĩ, sự nghĩ ngợi, sự trầm tư","tư tưởng, ý nghĩ, ý kiến","suy nghĩ, suy xét, nghĩ ngợi"
arm,ɑ:m,cánh tay,tay áo,nhánh (sông...)
closed,,bảo thủ,"không cởi mở, khép kín",
item,'aitem,"khoản (ghi số...), món (ghi trong đơn hàng...); tiết mục",tin tức; (từ lóng) món tin (có thể đăng báo...),
fruit,fru:t,"quả, trái cây","thành quả, kết quả","(số nhiều) thu hoạch, lợi tức"
doctor,'dɔktə,bác sĩ y khoa,tiến sĩ,"(hàng hải),  (từ lóng) người đầu bếp, anh nuôi (trên tàu)"
carefully,,"cẩn thận, chu đáo",,
birth,bə:θ,sự sinh đẻ,sự ra đời; ngày thành lập,dòng dõi
band,bænd,"dải, băng, đai, nẹp",dải đóng gáy sách,"(số nhiều) dải cổ áo (thầy tu, quan toà, viện sĩ hàn lâm...)"
stay,stei,(hàng hải) dây néo (cột buồm...),đang trở buồm,không lợi dụng được chiều gió
fourth,'fɔ:θ,"thứ tư, thứ bốn",một phần tư,"người thứ bốn; vật thứ bốn; ngày mồng bốn; (từ Mỹ,nghĩa Mỹ) (the Fourth) ngày 4 tháng 7 (quốc khánh Mỹ)"
leader,'li:də,"lânh tụ, người lânh đạo, người chỉ huy, người hướng dẫn, người chỉ đạo",luật sư chính (trong một vụ kiện),"bài báo chính, bài xã luận lớn"
block,blɔk,"khối, tảng, súc (đá, gỗ...)","cái thớt, đon kê, tấm gỗ kê để chặt đầu (người bị tử hình)","khuôn (mũ); đầu giả (để trưng bày mũ, tóc giả...)"
build,bild,sự xây dựng,kiểu kiến trúc,khổ người tầm vóc
horse,hɔ:s,ngựa,kỵ binh,"(thể dục,thể thao) ngựa gỗ ((cũng) vaulting horse)"
quarter,'kwɔ:tə,một phần tư,mười lăm phút,quý (ba tháng); học kỳ ba tháng (trường học)
mountain,'mauntin,núi,"(nghĩa bóng) núi, đống to",(xem) molehill
hotel,hou'tel,khách sạn,,
sell,sel,(thực vật học) sự làm thất vọng,"(từ Mỹ,nghĩa Mỹ) vố chơi khăm; sự đánh lừa",bán (hàng hoá); chuyên bán
buy,bai,mua,"(nghĩa bóng) trã bằng giá; đạt được, được (cái gì bằng một sự hy sinh nào đó)","mua chuộc, đút lót, hối lộ (ai)"
goal,goul,"(thể dục,thể thao) khung thành gồm","(thể dục,thể thao) bàn thắng, điểm","đích; mục đích, mục tiêu"
changing,'tʃeindʤiɳ,"hay thay đổi, hay biến đổi",,
plane,plein,"(thực vật học) cây tiêu huyền ((cũng) plane-tree,  platan)",cái bào,"bào (gỗ, kim loại...)"
sentence,'sentəns,(ngôn ngữ học) câu,"sự tuyên án; án; (từ hiếm,nghĩa hiếm) lời phán quyết","ý kiến (tán thành, chống đối)"
weather,'weθə,"thời tiết, tiết trời",bản thông báo thời tiết (đăng trên báo),cảnh giác đề phòng
tube,tju:b,ống,săm (ô tô...) ((cũng) inner tube),tàu điện ngầm
television,"'teli,viʤn",sự truyền hình,,
store,stɔ:,"sự có nhiều, sự dồi dào",dự trữ,kho hàng
reader,'ri:də,"người đọc, độc giả",người mê đọc sách,phó giáo sư (trường đại học)
bottom,'bɔtəm,phần dưới cùng; đáy,(hàng hải) bụng tàu; tàu,mặt (ghế)
card,kɑ:d,"các, thiếp, thẻ","quân bài, bài ((cũng) playing card)",(số nhiều) sự chơi bài
describe,dis'kraib,"tả, diễn tả, mô tả, miêu tả","vạch, vẽ","cho là, coi là; định rõ tính chất"
thin,θin,"mỏng, mảnh","gầy gò, mảnh dẻ, mảnh khảnh",loãng
camp,kæmp,"trại, chỗ cắm trại, hạ trại","(quân sự) chỗ đóng quân, chỗ đóng trại",đời sông quân đội
carrier,'kæriə,pigeon),"người đưa, người mang; người chuyên chở",hãng vận tải
becoming,bi'kʌmiɳ,"vừa, hợp, thích hợp, xứng",,
discuss,dis'kʌs,"thảo luận, bàn cãi, tranh luận (một vấn đề gì); nói đến (ai)","ăn uống ngon lành thích thú (món ăn, rượu)",
sister,'sistə,"chị, em gái",bạn gái thân (coi như chị em gái),"nữ tu sĩ, ni cô"
writer,'raitə,nhà văn; tác giả,"người viết, người thảo (bức thư, văn kiện)",người thư ký
chosen,tʃu:z,"chọn, lựa chọn, kén chọn",thách muốn,"(từ cổ,nghĩa cổ) không còn cách nào khác hơn là"
choose,tʃu:z,"chọn, lựa chọn, kén chọn",thách muốn,"(từ cổ,nghĩa cổ) không còn cách nào khác hơn là"
sign,sain,"dấu, dấu hiệu, ký hiệu; mật hiệu","dấu hiệu biểu hiện, biểu hiện, tượng trưng, điểm",(y học) triệu chứng
grow,grou,"mọc, mọc lên (cây cối); mọc mầm, đâm chồi nẩy nở","lớn, lớn lên (người)","phát triển, tăng lên, lớn thêm"
noise,nɔiz,"tiếng; tiếng ồn ào, tiếng om sòm, tiếng huyên náo","loan (tin), đồn",
spoke,spouk,cái nan hoa,"bậc thang, nấc thang",tay quay (của bánh lái)
three,θri:,ba,số ba,con ba (súc sắc) quân ba (quân bài)
careful,'keəful,"cẩn thận, thận trọng, biết giữ gìn, biết lưu ý","kỹ lưỡng, chu đáo",
train,trein,xe lửa,đoàn; đoàn tuỳ tùng,"dòng, dãy, chuỗi, hạt"
vote,vout,sự bỏ phiếu,lá phiếu,số phiếu (của một đảng trong một cuộc bầu cử)
corner,'kɔ:nə,"góc (tường, nhà, phố...)","nơi kín đáo, xó xỉnh; chỗ ẩn náu, chỗ giấu giếm","nơi, phương"
sight,sait,"sự nhìn, thị lực","sự nhìn, sự trông; cách nhìn",tầm nhìn
grown,groun,"lớn, trưởng thành",,
circle,'sə:kl,"đường tròn, hình tròn",sự tuần hoàn,"nhóm, giới"
tool,tu:l,"dụng cụ, đồ dùng",(nghĩa bóng) công cụ; lợi khí; tay sai,(xem) quarrel
save,seiv,"(thể dục,thể thao) sự phá bóng cứu nguy (chặn không cho đối phương ghi bàn) (bóng đá)",cứu nguy,"(thể dục,thể thao) phá bóng cứu nguy"
keeping,'ki:piɳ,"sự giữ, sự giữ gìn, sự bảo quản","sự coi giữ, sự trông nom, sự bảo vệ","(pháp lý) sự giữ, sự tuân theo"
thick,θik,dày,"to, mập","đặc, sền sệt"
interested,'intristid,"có quan tâm, thích thú, có chú ý","có lợi ích riêng; có liên quan, có dính dáng; có cổ phần, có vốn đầu tư","không vô tư, cầu lợi"
programme,programme,"chương trình (công tác, biểu diễn văn nghệ...)","cương lĩnh (của tổ chức, đảng phái)","đặt chương trình, lập chương trình"
speaking,'spi:kiɳ,sự nói; lời nói,sự phát biểu,"nói, nói lên, biểu lộ, biểu thị"
slow,slou,"chậm, chậm chạp","trì độn, không nhanh trí","buồn tẻ, kém vui"
drive,draiv,"cuộc đi xe, cuộc đi chơi bằng xe","(từ Mỹ,nghĩa Mỹ) đường lái xe vào nhà (trong khu vực một toà nhà)","sự lùa (thú săn), sự săn đuổi, sự dồn (kẻ địch)"
shop,ʃɔp,"cửa hàng, cửa hiệu",phân xưởng,"(từ lóng) cơ sở, trường sở nghề nghiệp, công việc làm ăn"
pleasure,'pleʤə,"niềm vui thích, điều thích thú, điều thú vị, điều vui thú, điều khoái trá","khoái lạc, hoan lạc; sự ăn chơi truỵ lạc","ý muốn, ý thích"
engineer,",endʤi'niə","kỹ sư, công trình sư",kỹ sư xây dựng ((cũng) civil engineer),công binh; người thiết kế và xây dựng công sự
baby,'beibi,đứa bé mới sinh; trẻ thơ,người tính trẻ con,(định ngữ) nhỏ; xinh xinh
caught,kætʃ,"sự bắt, sự nắm lấy; cái bắt, cái vồ, cái chộp",sự đánh cá; mẻ cá,"nhiều người bị bắt, vật bị túm được; mồi ngon đáng để bẫy; món bở"
happen,'hæpən,"xảy đến, xảy ra; ngẫu nhiên xảy ra, tình cờ xảy ra","tình cờ, ngẫu nhiên","(+ upon) tình cờ gặp, ngẫu nhiên gặp; ngẫu nhiên thấy"
starting,'stɑ:tliɳ,sự giật mình,"sự bắt đầu, sự khởi công, sự khởi hành",
pair,peə,"đôi, cặp","cặp vợ chồng; đôi đực cái, đôi trống mái (loài vật)",chiếc; cái (đồ vật có hai bộ phận)
seeing,,liên từ,"xét thấy sự thật là; do, bởi vì",việc nhà
bone,boun,xương,chất xương; chất ngà; chất ngà răng; chất sừng cá voi,"đồ bằng xương; (số nhiều) con súc sắc, quân cờ..."
draw,drɔ:,"sự kéo; sự cố gắng, sự nỗ lực","sức quyến rũ, sức hấp dẫn, sức lôi cuốn; người có sức quyến rũ, vật có sức lôi cuốn",sự rút thăm; sự mở số; số trúng
wait,weit,sự chờ đợi; thời gian chờ đợi,"sự rình, sự mai phục; chỗ rình, chỗ mai phục",(số nhiều) người hát rong ngày lễ Nô-en
famous,'feiməs,"nổi tiếng, nổi danh, trứ danh","(thông tục) cừ, chiến",
leaves,li:f,"lá cây; lá (vàng, bạc...)",tờ (giấy),tấm đôi (tấm ván ở mặt bàn có thể bỏ đi hoặc lắp vào chỗ cho bàn to thêm)
magazine,",mægə'zi:n",tạp chí,"nhà kho; kho súng, kho đạn, kho thuốc nổ",ổ đạn (trong súng)
parent,'peərənt,cha; mẹ,"(số nhiều) cha mẹ; ông cha, tổ tiên",(nghĩa bóng) nguồn gốc
meat,mi:t,thịt,"(từ cổ,nghĩa cổ) thức ăn (nói chung)","làm cho ai khoái trá, làm cho ai vui thích"
star,stɑ:,"sao, ngôi sao, tinh tú",vật hình sao,(ngành in) dấu sao
worker,'wə:kə,"người lao động, người làm việc","thợ, công nhân","(số nhiều) giai cấp công nhân, nhân dân lao động"
seat,si:t,"ghế; vé chỗ ngồi, chỗ ngồi",mặt ghế,mông đít
repeated,ri'pi:tid,"nhiều lần nhắc đi nhắc lại, lặp đi lặp lại",,
sitting,'sitiɳ,sự ngồi; sự đặt ngồi,buổi họp,"lần, lúc, lượt (ngồi)"
corn,kɔ:n,chai (chân),chỗ đau,(xem) tread
yellow,'jelou,vàng,"ghen ghét, ghen tị, đố kỵ, ngờ vực","(thông tục) nhút nhát, nhát gan"
ball,bɔ:l,buổi khiêu vũ,"quả cầu, hình cầu","quả bóng, quả ban"
finished,'finiʃt,"hết, đã hoàn thành, đã kết thúc, đã xong","đã hoàn hảo, đã hoàn chỉnh, đã được sang sửa lần cuối cùng",
warm,wɔ:m,ấm; làm cho ấm,(hội họa) ấm (màu sắc),"(thể dục,thể thao) còn nồng, chưa bay hết; còn mới, còn rõ (hơi, dấu vết của những con thú)"
taught,ti:tʃ,"dạy, dạy học; dạy bảo, dạy dỗ",,
boat,bout,tàu thuyền,đĩa hình thuyền (để đựng nước thịt...),"cùng hội cùng thuyền, cùng chung cảnh ngộ"
join,dʤɔin,"nối lại, chắp, ghép, buộc (cái nọ vào cái kia)",nối liền,"thắt chặt, hợp nhất, kết hợp, liên hiệp; kết giao, kết thân"
broken,'broukən,"bị gãy, bị vỡ",vụn,"đứt quãng, chập chờn, thất thường"
rose,rouz,hoa hồng; cây hoa hồng,"cô gái đẹp nhất, hoa khôi",bông hồng năm cánh (quốc huy của nước Anh)
rice,rais,lúa; gạo; cơm,cây lúa,
minute,'minit,phút,"một lúc, một lát, một thời gian ngắn",(toán học) phút (1 thoành 0 của một độ)
